_id,Facility,Facility Submission Status,Infected_Residents,Infected_Staff,Resident_Deaths,Staff_Deaths
649,THE SPRINGS OF LAFAYETTE,Data submitted,< 5,0.0,0.0,
650,THE SPRINGS OF MOORESVILLE,Data submitted - no cases to report,0.0,0.0,0.0,
651,THE SPRINGS OF RICHMOND,Data submitted,< 5,< 5,0.0,
652,THE TOWNE HOUSE RETIREMENT CENTER,Facility has not submitted Data,"","","",
653,THE VILLAGE AT HAMILTON POINTE,Data submitted,38.0,30.0,11.0,
654,THE VILLAGE AT HOLIDAY HEALTHCARE,Data submitted,0.0,< 5,0.0,
655,THE VILLAGES AT HISTORIC SILVERCREST,Data submitted,< 5,< 5,0.0,
656,THE WATERS OF BATESVILLE,Data submitted - no cases to report,0.0,0.0,0.0,
657,THE WATERS OF CLIFTY FALLS,Data submitted - no cases to report,0.0,0.0,0.0,
658,THE WATERS OF COVINGTON,Data submitted,< 5,< 5,0.0,
659,THE WATERS OF DILLSBORO - ROSS MANOR,Data submitted,9.0,6.0,< 5,
660,THE WATERS OF GREENCASTLE,Facility has not submitted Data,"","","",
661,THE WATERS OF HUNTINGBURG,Facility has not submitted Data,"","","",
662,THE WATERS OF INDIANAPOLIS,Facility has not submitted Data,"","","",
663,THE WATERS OF LEBANON,Data submitted,36.0,5.0,5.0,
664,THE WATERS OF MARTINSVILLE,Data submitted,34.0,12.0,9.0,
665,THE WATERS OF MUNCIE,Facility has not submitted Data,"","","",
666,THE WATERS OF NEW CASTLE,Data submitted - no cases to report,0.0,0.0,0.0,
667,THE WATERS OF PRINCETON,Data submitted - no cases to report,0.0,0.0,0.0,
668,THE WATERS OF RISING SUN,Data submitted,0.0,< 5,0.0,
669,THE WATERS OF SCOTTSBURG,Facility has not submitted Data,"","","",
670,THE WELLINGTON AT SOUTHPORT,Data submitted - no cases to report,0.0,0.0,0.0,
671,THE WOODLANDS,Data submitted,< 5,< 5,0.0,
672,THORNTON TERRACE HEALTH CAMPUS,Data submitted,< 5,< 5,0.0,
673,TIMBER CREEK VILLAGE,Facility has not submitted Data,"","","",
674,TIMBERCREST SENIOR LIVING COMMUNITY,Data submitted,0.0,< 5,0.0,
675,TIPTON PLACE,Data submitted,0.0,< 5,0.0,
676,TOWNE CENTRE ASSISTED LIVING,Facility has not submitted Data,"","","",
677,TOWNE PARK ASSISTED LIVING,Data submitted - no cases to report,0.0,0.0,0.0,
678,TRADITIONS AT REAGAN PARK,Data submitted,< 5,< 5,0.0,
679,TRADITIONS AT SOLANA,Data submitted,< 5,< 5,0.0,
680,TRAIL CREEK PLACE - ASSISTED LIVING,Data submitted,< 5,0.0,< 5,
681,TRAIL CREEK PLACE - MC,Data submitted,< 5,0.0,0.0,
682,TRANCENDENT HEALTHCARE NORTH,Facility has not submitted Data,"","","",
683,TRANQUILITY NURSING AND REHAB,Data submitted - no cases to report,0.0,0.0,0.0,
684,TRANSCENDENT HEALTHCARE OF BOONVILLE,Data submitted - no cases to report,0.0,0.0,0.0,
685,TRANSCENDENT HEALTHCARE OF OWENSVILLE,Facility has not submitted Data,"","","",
686,TRANSITIONAL CARE UNIT OF ST JOSEPH,Facility has not submitted Data,"","","",
687,TWIN CITY HEALTH CARE,Data submitted - no cases to report,0.0,0.0,0.0,
688,UNIVERSITY HEIGHTS HEALTH AND LIVING COMMUNITY,Data submitted,5.0,5.0,< 5,
689,UNIVERSITY NURSING AND REHABILITATION CENTER,Data submitted,0.0,< 5,0.0,
690,UNIVERSITY PLACE HEALTH CENTER AND ASSISTED LIVING,Facility has not submitted Data,"","","",
691,VALLEY VIEW HEALTHCARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
692,VANNONI LIVING CENTER,Facility has not submitted Data,"","","",
693,VERMILLION CONVALESCENT CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
694,VERMILLION PLACE,Facility has not submitted Data,"","","",
695,VERNON HEALTH & REHABILITATION,Data submitted - no cases to report,0.0,0.0,0.0,
696,VILLAGES AT OAK RIDGE,Data submitted,0.0,< 5,0.0,
697,VILLAS OF GUERIN WOODS,Facility has not submitted Data,"","","",
698,VILLAS OF HOLLY BROOK INDIANA,Facility has not submitted Data,"","","",
699,VIRGINIA PLACE,Facility has not submitted Data,"","","",
700,WABASH BICKFORD COTTAGE OPCO,Facility has not submitted Data,"","","",
701,WALKER PLACE,Facility has not submitted Data,"","","",
702,WALNUT CREEK ALZHEIMER'S,Data submitted,< 5,< 5,0.0,
703,WARSAW MEADOWS,Data submitted,< 5,< 5,0.0,
704,WASHINGTON NURSING CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
705,WATERFORD AT EDISON LAKES,Data submitted,0.0,< 5,0.0,
706,WATERFORD CROSSING,Data submitted,< 5,< 5,0.0,
707,WATERFORD PLACE HEALTH CAMPUS,Data submitted - no cases to report,0.0,0.0,0.0,
708,WEDGEWOOD HEALTHCARE CENTER,Data submitted,71.0,27.0,16.0,
709,WELLBROOKE OF AVON,Data submitted,10.0,< 5,< 5,
710,WELLBROOKE OF CARMEL,Data submitted,< 5,6.0,< 5,
711,WELLBROOKE OF CRAWFORDSVILLE,Data submitted - no cases to report,0.0,0.0,0.0,
712,WELLBROOKE OF KOKOMO,Data submitted,< 5,< 5,0.0,
713,WELLBROOKE OF SOUTH BEND,Data submitted,0.0,< 5,0.0,
714,WELLBROOKE OF WESTFIELD,Data submitted,< 5,5.0,0.0,
715,WESLEY MANOR HEALTH CENTER,Data submitted,0.0,< 5,0.0,
716,WESLEYAN HEALTH CARE CENTER,Data submitted,0.0,< 5,0.0,
717,WEST RIVER HEALTH CAMPUS,Data submitted - no cases to report,0.0,0.0,0.0,
718,WESTMINSTER HEALTH CARE CENTER,Facility has not submitted Data,"","","",
719,WESTMINSTER VILLAGE - MUNCIE,Data submitted - no cases to report,0.0,0.0,0.0,
720,WESTMINSTER VILLAGE - WEST LAFAYETTE,Data submitted,0.0,6.0,0.0,
721,WESTMINSTER VILLAGE HEALTH & REHAB,Data submitted - no cases to report,0.0,0.0,0.0,
722,WESTMINSTER VILLAGE NORTH,Data submitted,20.0,24.0,14.0,
723,WESTPARK A WATERS COMMUNITY,Data submitted,83.0,< 5,10.0,
724,WESTRIDGE HEALTH CARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
725,WESTSIDE VILLAGE NURSING CENTER,Data submitted,24.0,6.0,7.0,
726,WHITE OAK HEALTH CAMPUS,Data submitted - no cases to report,0.0,0.0,0.0,
727,WHITE RIVER LODGE,Data submitted - no cases to report,0.0,0.0,0.0,
728,WHITEWATER COMMONS SENIOR LIVING,Facility has not submitted Data,"","","",
729,WHITLOCK PLACE,Data submitted - no cases to report,0.0,0.0,0.0,
730,WICKSHIRE FORT HARRISON,Data submitted,< 5,< 5,0.0,
731,WICKSHIRE WEST LAFAYETTE,Data submitted - no cases to report,0.0,0.0,0.0,
732,WILDWOOD HEALTHCARE CENTER,Data submitted,173.0,37.0,19.0,
733,WILLOW CROSSING HEALTH & REHABILITATION CENTER,Data submitted,0.0,< 5,0.0,
734,WILLOW LAKE PLACE,Data submitted,20.0,10.0,9.0,
735,WILLOW MANOR,Data submitted - no cases to report,0.0,0.0,0.0,
736,WILLOWBEND LIVING CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
737,WINDSOR RIDGE,Facility has not submitted Data,"","","",
738,WINTERSONG VILLAGE,Data submitted - no cases to report,0.0,0.0,0.0,
739,WITHAM EXTENDED CARE,Data submitted - no cases to report,0.0,0.0,0.0,
740,WOOD RIDGE ASSISTED LIVING,Data submitted,< 5,< 5,0.0,
741,WOODBRIDGE HEALTH CAMPUS,Data submitted,0.0,7.0,0.0,
742,WOODLAND HILLS CARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
743,WOODLAND MANOR,Data submitted,< 5,0.0,0.0,
744,WOODLAND TERRACE OF CARMEL,Data submitted,< 5,< 5,< 5,
745,WOODLAND TERRACE OF NEW PALESTINE,Data submitted,< 5,0.0,< 5,
746,WOODMONT HEALTH CAMPUS,Data submitted - no cases to report,0.0,0.0,0.0,
747,WOODVIEW A WATERS COMMUNITY,Facility has not submitted Data,"","","",
748,WORTHINGTON PLACE,Facility has not submitted Data,"","","",
749,WYNDMOOR ASSISTED LIVING,Facility has not submitted Data,"","","",
750,WYNDMOOR OF CASTLETON,Facility has not submitted Data,"","","",
751,WYNDMOOR OF EVANSVILLE,Data submitted - no cases to report,0.0,0.0,0.0,
752,WYNDMOOR OF MARION,Data submitted - no cases to report,0.0,0.0,0.0,
753,WYNDMOOR OF PORTAGE,Facility has not submitted Data,"","","",
754,WYNNFIELD CROSSING,Data submitted,< 5,< 5,< 5,
755,YORK PLACE,Data submitted - no cases to report,0.0,0.0,0.0,
756,YORKTOWN MANOR,Data submitted,62.0,32.0,16.0,
757,Total,--,5867.0,2521.0,1390.0,12
