_id,Facility,Facility_Submission_Status,Infected_Residents,Infected_Staff,Resident_Deaths,Staff_deaths
633,AMBASSADOR HEALTHCARE,Data submitted - no case to report,0.0,0.0,0.0,
634,HHC-ASC ELKHART MEADOWS,Data Submitted,0.0,< 5,0.0,
635,KEYSTONE WOODS,Data submitted - no case to report,0.0,0.0,0.0,
636,HHC-ASC LOWELL HEALTHCARE,Data Submitted,0.0,< 5,0.0,
637,THE RESIDENCE AT WATERFORD CROSSING,Data Submitted,0.0,< 5,0.0,
638,HHC-ASC UNIVERSITY NURSING CENTER,Data Submitted,0.0,< 5,0.0,
639,LYND PLACE,Data submitted - no case to report,0.0,0.0,0.0,
640,APERION CARE UNIVERSITY PARK,Data submitted - no case to report,0.0,0.0,0.0,
641,THE WATERS OF CLIFTY FALLS,Data submitted - no case to report,0.0,0.0,0.0,
642,HHC-ASC AVALON VILLAGE,Data Submitted,0.0,< 5,0.0,
643,MILLER'S MERRY MANOR - WABASH EAST,Data submitted - no case to report,0.0,0.0,0.0,
644,MILLER'S MERRY MANOR - WALKERTON,Data Submitted,0.0,< 5,0.0,
645,WILLOW MANOR,Data submitted - no case to report,0.0,0.0,0.0,
646,PARKVIEW HAVEN,Data submitted - no case to report,0.0,0.0,0.0,
647,HHC-ASC CREEKSIDE VILLAGE,Data Submitted,0.0,< 5,0.0,
648,HICKORY CREEK AT CRAWFORDSVILLE,Data submitted - no case to report,0.0,0.0,0.0,
649,TRANSCENDENT HEALTHCARE OF OWENSVILLE,Data submitted - no case to report,0.0,0.0,0.0,
650,MAJESTIC CARE OF SHERIDAN,Data Submitted,0.0,< 5,0.0,
651,VALLEY VIEW HEALTHCARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
652,HICKORY CREEK AT FRANKLIN,Data submitted - no case to report,0.0,0.0,0.0,
653,THE WATERS OF HUNTINGBURG,Data submitted - no case to report,0.0,0.0,0.0,
654,HICKORY CREEK AT PERU,Data submitted - no case to report,0.0,0.0,0.0,
655,WHITE RIVER LODGE,Data submitted - no case to report,0.0,0.0,0.0,
656,HHC-ASC COVENTRY MEADOWS,Data Submitted,0.0,< 5,0.0,
657,GOLDEN LIVING CENTER - FOUNTAINVIEW TERRACE,Data submitted - no case to report,0.0,0.0,0.0,
658,TOWNE PARK ASSISTED LIVING,Data submitted - no case to report,0.0,0.0,0.0,
659,GOLDEN LIVING CENTER - WOODBRIDGE,Data submitted - no case to report,0.0,0.0,0.0,
660,FIVE STAR RESIDENCES OF FORT WAYNE,Data submitted - no case to report,0.0,0.0,0.0,
661,NORTHERN LAKES NURSING AND REHABILITATION CENTER,Data submitted - no case to report,0.0,0.0,0.0,
662,FRANCISCAN HEALTH ALTERNACARE,Data submitted - no case to report,0.0,0.0,0.0,
663,PARKVIEW CARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
664,HHC-ASC ALLISONVILLE MEADOWS,Data Submitted,0.0,< 5,0.0,
665,THE LANE HOUSE,Data submitted - no case to report,0.0,0.0,0.0,
666,LUTHERAN LIFE VILLAGES AT PINE VALLEY,Data Submitted,0.0,< 5,0.0,
667,TRANQUILITY NURSING AND REHAB,Data submitted - no case to report,0.0,0.0,0.0,
668,VILLAS OF GUERIN WOODS,Data submitted - no case to report,0.0,0.0,0.0,
669,WATERFORD AT EDISON LAKES,Data Submitted,0.0,< 5,0.0,
670,MILLER'S AT OAK POINTE,Data Submitted,0.0,< 5,0.0,
671,THE WATERS OF PRINCETON,Data submitted - no case to report,0.0,0.0,0.0,
672,SIGNATURE HEALTHCARE OF TERRE HAUTE,Data Submitted,0.0,< 5,0.0,
673,CHARLES FORD MEMORIAL HOME,Data submitted - no case to report,0.0,0.0,0.0,
674,SILVER BIRCH OF FORT WAYNE,Data Submitted,0.0,< 5,0.0,
675,TWIN CITY HEALTH CARE,Data submitted - no case to report,0.0,0.0,0.0,
676,GRAND EMERALD PLACE,Data submitted - no case to report,0.0,0.0,0.0,
677,PARKER HEALTH CARE & REHABILITATION CENTER,Data submitted - no case to report,0.0,0.0,0.0,
678,LEGACY LIVING OF JASPER,Data submitted - no case to report,0.0,0.0,0.0,
679,BELL TRACE SENIOR LIVING COMMUNITY,Data submitted - no case to report,0.0,0.0,0.0,
680,THE VILLAGE AT HOLIDAY HEALTHCARE,Data Submitted,0.0,< 5,0.0,
681,WOODMONT HEALTH CAMPUS,Data submitted - no case to report,0.0,0.0,0.0,
682,BROOKDALE RICHMOND,Data submitted - no case to report,0.0,0.0,0.0,
683,CHRISTINA PLACE,Data submitted - no case to report,0.0,0.0,0.0,
684,WORTHINGTON PLACE,Data submitted - no case to report,0.0,0.0,0.0,
685,MIDDLETOWN NURSING AND REHABILITATION CENTER,Data submitted - no case to report,0.0,0.0,0.0,
686,VILLAGES AT OAK RIDGE,Data Submitted,0.0,< 5,0.0,
687,GENTRY PARK,Data submitted - no case to report,0.0,0.0,0.0,
688,SIGNATURE HEALTHCARE OF SOUTH BEND,Data submitted - no case to report,0.0,0.0,0.0,
689,MILLER'S HEALTH & REHAB,Data Submitted,0.0,< 5,0.0,
690,SIMMONS LOVING CARE HEALTH FACILITY,Data submitted - no case to report,0.0,0.0,0.0,
691,WELLBROOKE OF SOUTH BEND,Data Submitted,0.0,< 5,0.0,
692,THE WELLINGTON AT SOUTHPORT,Data submitted - no case to report,0.0,0.0,0.0,
693,LIFE CARE CENTER OF ROCHESTER,Data Submitted,0.0,< 5,0.0,
694,ANTHOLOGY OF MERIDIAN HILLS,Data Submitted,0.0,< 5,0.0,
695,APERION CARE PERU,Data submitted - no case to report,0.0,0.0,0.0,
696,"CDC RESOUCES, INC. - RILEY RD.",Data submitted - no case to report,0.0,0.0,0.0,
697,MILLER'S MERRY MANOR - CULVER,Data submitted - no case to report,0.0,0.0,0.0,
698,WESLEY MANOR HEALTH CENTER,Data Submitted,0.0,< 5,0.0,
699,WHITEWATER COMMONS SENIOR LIVING,Data submitted - no case to report,0.0,0.0,0.0,
700,PINE KNOLL ASSISTED LIVING CENTER,Data submitted - no case to report,0.0,0.0,0.0,
701,1717 SENIOR LIVING,Data submitted - no case to report,0.0,0.0,0.0,
702,HHC-ASC MARKLE HEALTH & REHABILITATION,Data submitted - no case to report,0.0,0.0,0.0,
703,HEALTHCARE CENTER AT WITTENBERG VILLAGE,Data Submitted,0.0,< 5,0.0,
704,ANSON SENIOR LIVING,Data submitted - no case to report,0.0,0.0,0.0,
705,CRESTWOOD VILLAGE SOUTH APARTMENTS,Data submitted - no case to report,0.0,0.0,0.0,
706,GOLDEN LIVING CENTER - ELKHART,Data Submitted,0.0,< 5,0.0,
707,HHC-ASC PRAIRIE VILLAGE NURSING & REHAB,Data submitted - no case to report,0.0,0.0,0.0,
708,CAROLETON HEALTHCARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
709,WILLOW CROSSING HEALTH & REHABILITATION CENTER,Data Submitted,0.0,< 5,0.0,
710,WELLBROOKE OF CRAWFORDSVILLE,Data submitted - no case to report,0.0,0.0,0.0,
711,BRAUN'S NURSING HOME,Data Submitted,0.0,< 5,0.0,
712,BENNETT PLACE,Data submitted - no case to report,0.0,0.0,0.0,
713,WESTMINSTER VILLAGE HEALTH & REHAB,Data submitted - no case to report,0.0,0.0,0.0,
714,BLOOM AT EAGLE CREEK,Data submitted - no case to report,0.0,0.0,0.0,
715,ELWOOD HEALTH AND LIVING,Data submitted - no case to report,0.0,0.0,0.0,
716,WATERFORD PLACE HEALTH CAMPUS,Data submitted - no case to report,0.0,0.0,0.0,
717,SANDERS GLEN,Data submitted - no case to report,0.0,0.0,0.0,
718,GARDEN VILLA - BEDFORD,Data Submitted,0.0,< 5,0.0,
719,MILLER'S MERRY MANOR - NEW CARLISLE,Data submitted - no case to report,0.0,0.0,0.0,
720,BLISS PLACE,Data Submitted,0.0,< 5,0.0,
721,HERITAGE POINT OF WARREN,Data Submitted,0.0,< 5,0.0,
722,HHC-ASC FRANKLIN MEADOWS,Data Submitted,0.0,< 5,0.0,
723,JOURNEY SENIOR LIVING OF MERRILLVILLE,Data submitted - no case to report,0.0,0.0,0.0,
724,FIVE STAR RESIDENCES OF NORTHWOODS,Data submitted - no case to report,0.0,0.0,0.0,
725,MAJESTIC CARE OF NEW HAVEN,Data Submitted,0.0,< 5,0.0,
726,HANOVER NURSING CENTER,Data submitted - no case to report,0.0,0.0,0.0,
727,APERION CARE KOKOMO,Facility has not submitted Data,"","","",
728,APERION CARE WALDRON,Facility has not submitted Data,"","","",
729,ASBURY TOWERS HEALTH CARE CENTER,Facility has not submitted Data,"","","",
730,ASSISTED LIVING AT ROMWEBER FLATS,Facility has not submitted Data,"","","",
731,AUBURN VILLAGE,Facility has not submitted Data,"","","",
732,AUTUMN GLEN,Facility has not submitted Data,"","","",
733,BRENTWOOD AT LAPORTE,Facility has not submitted Data,"","","",
734,BROOKDALE FORT WAYNE,Facility has not submitted Data,"","","",
735,CARMEL SENIOR LIVING,Facility has not submitted Data,"","","",
736,CLARENDALE OF SCHERERVILLE,Facility has not submitted Data,"","","",
737,COLUMBUS TRANSITIONAL CARE AND REHABILITATION,Facility has not submitted Data,"","","",
738,EASTLAKE TERRACE,Facility has not submitted Data,"","","",
739,GOLDEN YEARS HOMESTEAD,Facility has not submitted Data,"","","",
740,HOOVERWOOD,Facility has not submitted Data,"","","",
741,INDIANA MASONIC HOME HEALTH CENTER,Facility has not submitted Data,"","","",
742,LAMPLIGHT INN OF FORT WAYNE,Facility has not submitted Data,"","","",
743,LYNHURST HEALTHCARE,Facility has not submitted Data,"","","",
744,MEADOW BROOK SENIOR LIVING,Facility has not submitted Data,"","","",
745,PEABODY RETIREMENT COMMUNITY,Facility has not submitted Data,"","","",
746,PINE HAVEN HEALTH AND REHABILITATION CENTER,Facility has not submitted Data,"","","",
747,PRIMROSE MEMORY CARE OF ANDERSON,Facility has not submitted Data,"","","",
748,ROSEWOOD MANOR,Facility has not submitted Data,"","","",
749,SAGE BLUFF HEALTH & REHAB CENTER,Facility has not submitted Data,"","","",
750,SOUTHERN INDIANA REHABILITATION HOSPITAL,Facility has not submitted Data,"","","",
751,SUGAR FORK CROSSING,Facility has not submitted Data,"","","",
752,TANGLEWOOD TRACE,Facility has not submitted Data,"","","",
753,THE ENCLAVE SENIOR LIVING AT SAXONY,Facility has not submitted Data,"","","",
754,THE HEARTH AT SYCAMORE VILLAGE,Facility has not submitted Data,"","","",
755,THE HEARTH AT TUDOR GARDENS,Facility has not submitted Data,"","","",
756,THE WATERS OF SCOTTSBURG,Facility has not submitted Data,"","","",
757,TRANCENDENT HEALTHCARE NORTH,Facility has not submitted Data,"","","",
758,TRANSITIONAL CARE UNIT OF ST JOSEPH,Facility has not submitted Data,"","","",
759,WALKER PLACE,Facility has not submitted Data,"","","",
760,WINDSOR RIDGE,Facility has not submitted Data,"","","",
761,WOODVIEW A WATERS COMMUNITY,Facility has not submitted Data,"","","",
762,WYNDMOOR ASSISTED LIVING,Facility has not submitted Data,"","","",
763,Total,"",6622.0,2774.0,1618.0,12
