_id,Facility,Facility_Submission_Status,Infected_Residents,Infected_Staff,Resident_Deaths,Staff_deaths
653,THE WOODLANDS,Data Submitted,< 5,< 5,0.0,
654,THORNTON TERRACE HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
655,TIMBER CREEK VILLAGE,Data Submitted,0.0,0.0,0.0,
656,TIMBERCREST SENIOR LIVING COMMUNITY,Data Submitted,< 5,< 5,0.0,
657,TIPTON PLACE,Data Submitted,0.0,< 5,0.0,
658,TOWNE CENTRE ASSISTED LIVING,Data Submitted,0.0,0.0,0.0,
659,TOWNE PARK ASSISTED LIVING,Data Submitted,0.0,0.0,0.0,
660,TRADITIONS AT REAGAN PARK,Data Submitted,< 5,< 5,0.0,
661,TRADITIONS AT SOLANA,Data Submitted,< 5,< 5,0.0,
662,TRAIL CREEK PLACE - ASSISTED LIVING,Data Submitted,< 5,0.0,< 5,
663,TRANCENDENT HEALTHCARE NORTH,Facility has not submitted Data,0.0,0.0,0.0,
664,TRANQUILITY NURSING AND REHAB,Data Submitted,0.0,0.0,0.0,
665,TRANSCENDENT HEALTHCARE OF BOONVILLE,Data Submitted,0.0,0.0,0.0,
666,TRANSCENDENT HEALTHCARE OF OWENSVILLE,Data Submitted,0.0,0.0,0.0,
667,TWIN CITY HEALTH CARE,Data Submitted,0.0,< 5,0.0,
668,UNIVERSITY HEIGHTS HEALTH AND LIVING COMMUNITY,Data Submitted,5.0,6.0,< 5,
669,UNIVERSITY NURSING AND REHABILITATION CENTER,Data Submitted,0.0,< 5,0.0,
670,UNIVERSITY PLACE HEALTH CENTER AND ASSISTED LIVING,Data Submitted,0.0,0.0,0.0,
671,VALLEY VIEW HEALTHCARE CENTER,Data Submitted,0.0,< 5,0.0,
672,VANNONI LIVING CENTER,Data Submitted,0.0,0.0,0.0,
673,VERMILLION CONVALESCENT CENTER,Data Submitted,0.0,0.0,0.0,
674,VERMILLION PLACE,Data Submitted,0.0,0.0,0.0,
675,VERNON HEALTH & REHABILITATION,Data Submitted,0.0,0.0,0.0,
676,VILLAGES AT OAK RIDGE,Data Submitted,< 5,< 5,0.0,
677,VILLAS OF GUERIN WOODS,Data Submitted,0.0,0.0,0.0,
678,VILLAS OF HOLLY BROOK INDIANA,Data Submitted,0.0,0.0,0.0,
679,VIRGINIA PLACE,Data Submitted,0.0,0.0,0.0,
680,WABASH BICKFORD COTTAGE OPCO,Data Submitted,0.0,0.0,0.0,
681,WALKER PLACE,Data Submitted,0.0,0.0,0.0,
682,WALNUT CREEK ALZHEIMER'S,Data Submitted,< 5,< 5,0.0,
683,WARSAW MEADOWS,Data Submitted,< 5,< 5,0.0,
684,WASHINGTON NURSING CENTER,Data Submitted,0.0,0.0,0.0,
685,WATERFORD AT EDISON LAKES,Data Submitted,< 5,< 5,0.0,
686,WATERFORD CROSSING,Data Submitted,< 5,< 5,< 5,
687,WATERFORD PLACE HEALTH CAMPUS,Data Submitted,0.0,0.0,0.0,
688,WEDGEWOOD HEALTHCARE CENTER,Data Submitted,72.0,27.0,21.0,
689,WELLBROOKE OF AVON,Data Submitted,10.0,< 5,< 5,
690,WELLBROOKE OF CARMEL,Data Submitted,< 5,6.0,< 5,
691,WELLBROOKE OF CRAWFORDSVILLE,Data Submitted,0.0,0.0,0.0,
692,WELLBROOKE OF KOKOMO,Data Submitted,< 5,< 5,0.0,
693,WELLBROOKE OF SOUTH BEND,Data Submitted,0.0,< 5,0.0,
694,WELLBROOKE OF WABASH,Data Submitted,0.0,< 5,0.0,
695,WELLBROOKE OF WESTFIELD,Data Submitted,< 5,7.0,< 5,
696,WESLEY MANOR HEALTH CENTER,Data Submitted,0.0,< 5,0.0,
697,WESLEYAN HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
698,WEST RIVER HEALTH CAMPUS,Data Submitted,0.0,0.0,0.0,
699,WESTMINSTER HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
700,WESTMINSTER VILLAGE - MUNCIE,Data Submitted,0.0,< 5,0.0,
701,WESTMINSTER VILLAGE - WEST LAFAYETTE,Data Submitted,0.0,6.0,0.0,
702,WESTMINSTER VILLAGE HEALTH & REHAB,Data Submitted,0.0,0.0,0.0,
703,WESTMINSTER VILLAGE NORTH,Data Submitted,20.0,25.0,14.0,
704,WESTPARK A WATERS COMMUNITY,Data Submitted,84.0,< 5,14.0,
705,WESTRIDGE HEALTH CARE CENTER,Data Submitted,0.0,0.0,0.0,
706,WESTSIDE VILLAGE NURSING CENTER,Data Submitted,25.0,6.0,7.0,
707,WHITE OAK HEALTH CAMPUS,Data Submitted,0.0,0.0,0.0,
708,WHITE RIVER LODGE,Data Submitted,0.0,< 5,0.0,
709,WHITEWATER COMMONS SENIOR LIVING,Data Submitted,0.0,0.0,0.0,
710,WHITLOCK PLACE,Data Submitted,0.0,0.0,0.0,
711,WICKSHIRE FORT HARRISON,Data Submitted,< 5,< 5,0.0,
712,WICKSHIRE WEST LAFAYETTE,Data Submitted,0.0,< 5,0.0,
713,WILDWOOD HEALTHCARE CENTER,Data Submitted,173.0,37.0,20.0,
714,WILLOW CROSSING HEALTH & REHABILITATION CENTER,Data Submitted,0.0,< 5,0.0,
715,WILLOW LAKE PLACE,Data Submitted,11.0,5.0,6.0,
716,WILLOW MANOR,Data Submitted,0.0,0.0,0.0,
717,WILLOWBEND LIVING CENTER,Data Submitted,0.0,0.0,0.0,
718,WINDSOR RIDGE,Data Submitted,0.0,0.0,0.0,
719,WINTERSONG VILLAGE,Data Submitted,0.0,0.0,0.0,
720,WITHAM EXTENDED CARE,Data Submitted,0.0,0.0,0.0,
721,WOOD RIDGE ASSISTED LIVING,Data Submitted,< 5,< 5,0.0,
722,WOODBRIDGE HEALTH CAMPUS,Data Submitted,0.0,7.0,0.0,
723,WOODLAND HILLS CARE CENTER,Data Submitted,0.0,0.0,0.0,
724,WOODLAND MANOR,Data Submitted,< 5,0.0,0.0,
725,WOODLAND TERRACE OF CARMEL,Data Submitted,< 5,< 5,< 5,
726,WOODLAND TERRACE OF NEW PALESTINE,Data Submitted,< 5,0.0,< 5,
727,WOODMONT HEALTH CAMPUS,Data Submitted,0.0,0.0,0.0,
728,WOODVIEW A WATERS COMMUNITY,Data Submitted,0.0,< 5,0.0,
729,WORTHINGTON PLACE,Data Submitted,0.0,0.0,0.0,
730,WYNDMOOR ASSISTED LIVING,Data Submitted,0.0,< 5,0.0,
731,WYNDMOOR OF CASTLETON,Data Submitted,0.0,0.0,0.0,
732,WYNDMOOR OF EVANSVILLE,Data Submitted,0.0,0.0,0.0,
733,WYNDMOOR OF MARION,Data Submitted,0.0,0.0,0.0,
734,WYNDMOOR OF PORTAGE,Data Submitted,0.0,0.0,0.0,
735,YORK PLACE,Data Submitted,0.0,< 5,0.0,
736,YORKTOWN MANOR,Data Submitted,62.0,32.0,16.0,
737,INDIANA MASONIC HOME HEALTH CENTER,Data Submitted,0.0,0.0,0.0,
738,MILLER'S MERRY MANOR - PORTAGE,Data Submitted,35.0,12.0,13.0,
739,ATRIA- NEWBURGH,Data Submitted,0.0,0.0,0.0,
740,BELL TRACE SENIOR LIVING COMMUNITY,Data Submitted,0.0,0.0,0.0,
741,CENTURY FIELDS RETIREMENT COMMUNITY,Data Submitted,5.0,< 5,< 5,
742,HHC-ASC AMERICAN VILLAGE ASSISTED LIVING,Data Submitted,23.0,0.0,< 5,
743,HHC-ASC BEECH GROVE MEADOWS ASSISTED LIVING,Data Submitted,< 5,0.0,< 5,
744,HHC-ASC MEADOW LAKES ASSISTED LIVING,Data Submitted,< 5,0.0,< 5,
745,HHC-ASC ZIONSVILLE MEADOWS ASSISTED LIVING,Data Submitted,0.0,0.0,0.0,
746,HOLY CROSS HOUSE AT NOTRE DAME,Data Submitted,< 5,0.0,0.0,
747,JEFFERSON MANOR,Data Submitted,0.0,< 5,0.0,
748,MAGNOLIA SPRINGS BRIDGEWATER,Data Submitted,< 5,< 5,0.0,
749,NORTHWOOD MANOR,Data Submitted,< 5,0.0,0.0,
750,OSSIAN ASSISTED LIVING COMMUNITY,Data Submitted,0.0,0.0,0.0,
751,PARK SQUARE MANOR,Data Submitted,0.0,0.0,0.0,
752,SENIOR LIVING AT FOREST RIDGE,Data Submitted,0.0,0.0,0.0,
753,SHEFFIELD MANOR,Data Submitted,9.0,6.0,< 5,
754,SMITH FARMS MANOR,Data Submitted,0.0,0.0,0.0,
755,SYCAMORE MANOR,Data Submitted,0.0,0.0,0.0,
756,THE RESIDENCE AT WATERFORD CROSSING,Data Submitted,0.0,< 5,0.0,
757,THE VILLAGE AT HOLIDAY HEALTHCARE,Data Submitted,0.0,< 5,0.0,
758,TRAIL CREEK PLACE - MC,Data Submitted,< 5,0.0,< 5,
759,WYNNFIELD CROSSING,Data Submitted,< 5,< 5,< 5,
760,TOTAL,"",7324.0,3329.0,1903.0,13
