_id,facility_name,facility_submission_status,infected_residents,infected_staff,resident_deaths
753,OSSIAN ASSISTED LIVING COMMUNITY,Data Submitted,< 5,< 5,0
754,PARK SQUARE MANOR,Data Submitted,0,0,0
755,SENIOR LIVING AT FOREST RIDGE,Data Submitted,0,0,0
756,SHEFFIELD MANOR,Data Submitted,9,< 5,0
757,SMITH FARMS MANOR,Data Submitted,0,0,0
758,SYCAMORE MANOR,Data Submitted,0,0,0
759,THE RESIDENCE AT WATERFORD CROSSING,Data Submitted,5,11,0
760,THE VILLAGE AT HOLIDAY HEALTHCARE,Data Submitted,0,< 5,0
761,TRAIL CREEK PLACE - MC,Data Submitted,< 5,0,< 5
762,WYNNFIELD CROSSING,Data Submitted,< 5,< 5,< 5
763,EVERGREEN VILLAGE AT FORT WAYNE,Data Submitted,0,< 5,0
764,HELLENIC SENIOR LIVING OF MISHAWAKA,Data Submitted,0,0,0
765,LINCOLNSHIRE PLACE - MUNCIE,Data Submitted,0,0,0
